,ID,title,description,Verified,subcount,viewcount,channel_name,date_uploaded,likes,dislikes,upvotes,rank,timestamp
10,9JTOwmM3Ta0,Daniel Ricciardo's McLaren MCL35M debut,We took our 2021 contender to the track at Silverstone for some filming day fun. Watch and listen to DR's first time in a McLaren Formula 1 car.,True,555000.0,405875.0,McLaren,17 Feb 2021,29193,65,0,11,Wed Feb 17 19:52:48 2021 to Wed Feb 17 21:08:47 2021
11,Zk7xww6K4xM,OFB - Daily Duppy | GRM Daily,"💿 COMING SOON: Drill Commandments out 18th March

🎹 PROD BY: Sensei & Bigzy x Ebononthetrack

🚨 SUBSCRIBE: ",True,3660000.0,844696.0,GRM Daily,Premiered on 15 Feb 2021,50150,791,0,12,Wed Feb 17 19:52:48 2021 to Wed Feb 17 21:08:47 2021
12,C0WuoQ-_8,What happened to my Lamborghini?,"A lot of people have been asking, so I explained everything!

Be part of my Project, right now - ",True,1620000.0,173339.0,Jay Swingler,16 Feb 2021,17386,141,0,13,Wed Feb 17 19:52:48 2021 to Wed Feb 17 21:08:47 2021
13,9PU0WZ0DxW,Eating McDonald's Happy Meals until I get EVERY POKEMON CARD!!,Go to ,True,13500000.0,1645738.0,Matt Stonie,16 Feb 2021,118242,3285,0,14,Wed Feb 17 19:52:48 2021 to Wed Feb 17 21:08:47 2021
14,VSly_E9,BRUTAL FRIENDSHIP TEST *too much tea*,MY FASHION BRAND:,True,314000.0,72862.0,Elmo Films,16 Feb 2021,6348,37,0,15,Wed Feb 17 19:52:48 2021 to Wed Feb 17 21:08:47 2021
15,dgETk7oubY,We Broke Up,We Broke Up,True,3510000.0,149344.0,FaZe Blaze,17 Feb 2021,19539,350,0,16,Wed Feb 17 19:52:48 2021 to Wed Feb 17 21:08:47 2021
16,XxGT_82_dbY,"4,000,000 COINS!!!! FIFA 21 Squad Builder Showdown TOTY Messi","This is a very late video I know xD Hope you enjoy it all the same, stay tuned for more videos! Go and follow me on twitch where we are also now streaming! twitch.tv/itsitsjames

Check out my song here:",False,114000.0,118269.0,ItsJames,16 Feb 2021,4828,37,0,17,Wed Feb 17 19:52:48 2021 to Wed Feb 17 21:08:47 2021
17,ZNexfJ6SeN4,“Drag Race” Contestant Sherry Pie Talks After Admitting to Catfishing,"Joey Gugliemelli is a drag performer who goes by the stage name Sherry Pie. Last year, they were publicly disqualified from Season 12 of “RuPaul's Drag Race” after admitting to sexually exploiting several men. Joey exclusively opens up for the first time in a sit-down with Tamron Hall.",False,120000.0,63305.0,Tamron Hall Show,16 Feb 2021,794,1682,0,18,Wed Feb 17 19:52:48 2021 to Wed Feb 17 21:08:47 2021
18,kWitT79g,Valentines Day PRANKS on my Friends!!,"Don't forget to SUBSCRIBE and TURN ON POST NOTIFICATIONS!

Follow my other social medias! 
Instagram - @ANDREWDAVILA_
Tik Tok - @ANDREW.DAVILA


Lexi's YouTube: @Alexa Rivera  
Jeremy's YouTube:  ",True,1300000.0,298949.0,Andrew Davila,17 Feb 2021,38575,245,0,19,Wed Feb 17 19:52:48 2021 to Wed Feb 17 21:08:47 2021
19,M678ialAwA,Trying Tactical Products,"this video is about trying tac products is what i'm doing in this video
thanks to Christian for filming ",False,1150000.0,406480.0,2 Danny 2 Furious,16 Feb 2021,56384,174,0,20,Wed Feb 17 19:52:48 2021 to Wed Feb 17 21:08:47 2021
